configuration_id,LL_dynamic_02_alpha,LL_dynamic_02_beta,LL_dynamic_02_gamma,LL_dynamic_02_a,LL_dynamic_02_b,seed,time,bound,solved
261,0.3672,1.6736,1.413,1.2045,0.7257,926352561,21548,24632,1
261,0.3672,1.6736,1.413,1.2045,0.7257,1590962420,21422,24831,1
261,0.3672,1.6736,1.413,1.2045,0.7257,1129705271,20387,22590,1
262,0.7656,1.9131,1.0004,1.1018,0.7116,1129705271,22714,22590,0
263,1.8902,2.6836,0.873,1.0408,0.7003,1129705271,22590,22590,0
264,1.5153,1.7349,0.6422,1.1192,0.6957,1129705271,22618,22590,0
265,1.159,2.4655,1.2312,1.2958,0.4732,1129705271,22594,22590,0
266,0.5778,1.4019,0.9274,1.4159,0.5348,1129705271,22687,22590,0
267,1.9647,1.6912,1.7451,1.1603,0.672,1129705271,22608,22590,0
268,0.6693,1.1318,1.0018,1.0978,0.6821,1129705271,22697,22590,0
269,2.8337,1.3907,0.9017,1.0529,0.6453,1129705271,22592,22590,0
270,0.8655,1.0554,1.2944,1.2522,0.6418,1129705271,22670,22590,0
271,1.0193,1.6341,0.7552,1.0691,0.7136,1129705271,22617,22590,0
272,0.8948,2.93,0.8759,1.2671,0.4802,1129705271,22594,22590,0
273,1.1446,1.5734,1.4327,1.1242,0.7376,1129705271,22614,22590,0
274,0.9897,1.214,1.5613,1.2478,0.7372,1129705271,22716,22590,0
275,0.6652,1.0754,0.8594,1.1845,0.7139,1129705271,22708,22590,0
276,1.7838,1.0978,0.686,1.101,0.7752,1129705271,22597,22590,0
277,0.895,1.3588,0.8569,1.3034,0.514,1129705271,22593,22590,0
278,1.4184,1.1116,0.755,1.0801,0.6455,1129705271,22599,22590,0
279,1.1574,2.9316,0.4696,1.2536,0.5237,1129705271,22620,22590,0
280,0.4213,1.0872,0.6625,1.0941,0.6586,1010701430,23528,23565,1
280,0.4213,1.0872,0.6625,1.0941,0.6586,1673570350,22780,137588,1
280,0.4213,1.0872,0.6625,1.0941,0.6586,1511508930,21011,182985,1
280,0.4213,1.0872,0.6625,1.0941,0.6586,395064476,21539,23035,1
280,0.4213,1.0872,0.6625,1.0941,0.6586,2037563455,21833,160492,1
280,0.4213,1.0872,0.6625,1.0941,0.6586,1177142122,22022,91446,1
280,0.4213,1.0872,0.6625,1.0941,0.6586,976064959,22351,113915,1
280,0.4213,1.0872,0.6625,1.0941,0.6586,926352561,21440,45358,1
280,0.4213,1.0872,0.6625,1.0941,0.6586,1590962420,22162,68954,1
280,0.4213,1.0872,0.6625,1.0941,0.6586,1129705271,22231,22590,1
281,0.3345,1.0009,0.5116,1.074,0.7621,1129705271,22627,22590,0
282,1.255,2.0448,1.5339,1.0628,0.7623,1129705271,22608,22590,0
283,0.5632,2.2194,1.5118,1.3631,0.4318,1129705271,22649,22590,0
284,0.9974,1.1149,0.5635,1.0317,0.7291,1129705271,22597,22590,0
285,1.308,1.7958,2.2641,1.3794,0.5318,1129705271,22611,22590,0
286,0.7274,1.5013,0.6246,1.182,0.6908,1010701430,21259,23565,1
286,0.7274,1.5013,0.6246,1.182,0.6908,1673570350,21395,137588,1
286,0.7274,1.5013,0.6246,1.182,0.6908,1511508930,21837,182985,1
286,0.7274,1.5013,0.6246,1.182,0.6908,395064476,22501,23292,1
286,0.7274,1.5013,0.6246,1.182,0.6908,2037563455,23659,160492,1
286,0.7274,1.5013,0.6246,1.182,0.6908,1177142122,20259,91446,1
286,0.7274,1.5013,0.6246,1.182,0.6908,976064959,19955,113915,1
286,0.7274,1.5013,0.6246,1.182,0.6908,926352561,22911,45358,1
286,0.7274,1.5013,0.6246,1.182,0.6908,1590962420,23198,68954,1
286,0.7274,1.5013,0.6246,1.182,0.6908,1129705271,21974,22590,1
287,0.4584,1.8005,1.9019,1.1395,0.7203,1010701430,22424,47230,1
287,0.4584,1.8005,1.9019,1.1395,0.7203,1673570350,22168,161253,1
287,0.4584,1.8005,1.9019,1.1395,0.7203,1511508930,21532,2e+05,1
287,0.4584,1.8005,1.9019,1.1395,0.7203,395064476,22576,23665,1
287,0.4584,1.8005,1.9019,1.1395,0.7203,2037563455,22174,184157,1
287,0.4584,1.8005,1.9019,1.1395,0.7203,1177142122,23363,115111,1
287,0.4584,1.8005,1.9019,1.1395,0.7203,976064959,23010,137580,1
287,0.4584,1.8005,1.9019,1.1395,0.7203,926352561,21931,69023,1
287,0.4584,1.8005,1.9019,1.1395,0.7203,1590962420,22767,92619,1
287,0.4584,1.8005,1.9019,1.1395,0.7203,1129705271,21601,22590,1
288,0.9713,2.3628,1.075,1.3428,0.4668,1129705271,22626,22590,0
289,1.0157,1.112,0.6092,1.2228,0.7161,1129705271,22618,22590,0
290,0.625,2.103,2.1773,1.1532,0.6901,1129705271,22613,22590,0
291,2.0179,2.8658,0.3618,1.2531,0.6077,1129705271,22598,22590,0
292,1.0928,2.7529,0.6781,1.5464,0.4888,1129705271,22639,22590,0
293,1.2868,1.1157,1.3129,1.3279,0.4882,1129705271,22633,22590,0
294,1.2873,1.6704,0.6315,1.1989,0.7126,1129705271,22747,22590,0
295,0.7892,1.874,0.9358,1.2167,0.6309,395064476,22970,22934,0
295,0.7892,1.874,0.9358,1.2167,0.6309,1129705271,22332,22590,1
296,1.3262,1.1896,2.1389,1.1006,0.7008,1129705271,22629,22590,0
297,1.1386,1.1816,2.2424,1.1022,0.6723,1129705271,22609,22590,0
298,0.3634,2.5931,0.4642,1.2761,0.5144,1010701430,21023,47996,1
298,0.3634,2.5931,0.4642,1.2761,0.5144,1673570350,20925,162019,1
298,0.3634,2.5931,0.4642,1.2761,0.5144,1511508930,21804,2e+05,1
298,0.3634,2.5931,0.4642,1.2761,0.5144,395064476,20740,24431,1
298,0.3634,2.5931,0.4642,1.2761,0.5144,2037563455,21748,184923,1
298,0.3634,2.5931,0.4642,1.2761,0.5144,1177142122,21288,115877,1
298,0.3634,2.5931,0.4642,1.2761,0.5144,976064959,21358,138346,1
298,0.3634,2.5931,0.4642,1.2761,0.5144,926352561,20172,69789,1
298,0.3634,2.5931,0.4642,1.2761,0.5144,1590962420,21292,93385,1
298,0.3634,2.5931,0.4642,1.2761,0.5144,1129705271,20835,22590,1
299,1.2236,1.382,1.2641,1.0849,0.7151,1129705271,22600,22590,0
300,0.4799,1.9328,1.6464,1.2893,0.4703,1129705271,22726,22590,0
301,0.9689,1.1589,0.5663,1.1627,0.7267,1129705271,22590,22590,0
302,0.4785,1.0105,1.1574,1.2508,0.7259,1129705271,22619,22590,0
303,1.2139,1.2989,1.0978,1.1175,0.7267,1129705271,22591,22590,0
304,2.6899,1.3224,0.7806,1.1974,0.5107,1129705271,22591,22590,0
305,1.1117,2.526,0.8736,1.3989,0.5084,1129705271,22598,22590,0
306,2.0548,2.004,2.2579,1.2512,0.6371,1129705271,22640,22590,0
307,1.6238,2.7928,1.0101,1.2302,0.5191,1129705271,22635,22590,0
308,1.5172,1.0342,2.8602,1.015,0.7509,1129705271,22590,22590,0
309,0.7706,2.1839,1.217,1.4687,0.5146,1129705271,22641,22590,0
310,1.1972,2.1035,0.7386,1.2623,0.5929,1129705271,22624,22590,0
311,1.2107,2.2647,1.5487,1.4252,0.5584,1129705271,22600,22590,0
312,1.2445,2.4133,1.4555,1.1954,0.6324,1129705271,22591,22590,0
313,0.577,1.2677,0.7801,1.1794,0.6915,1010701430,20897,47464,1
313,0.577,1.2677,0.7801,1.1794,0.6915,1673570350,22118,161487,1
313,0.577,1.2677,0.7801,1.1794,0.6915,1511508930,22063,2e+05,1
313,0.577,1.2677,0.7801,1.1794,0.6915,395064476,20501,23899,1
313,0.577,1.2677,0.7801,1.1794,0.6915,2037563455,20811,184391,1
313,0.577,1.2677,0.7801,1.1794,0.6915,1177142122,20446,115345,1
313,0.577,1.2677,0.7801,1.1794,0.6915,976064959,23938,137814,1
313,0.577,1.2677,0.7801,1.1794,0.6915,926352561,21846,69257,1
313,0.577,1.2677,0.7801,1.1794,0.6915,1590962420,22071,92853,1
313,0.577,1.2677,0.7801,1.1794,0.6915,1129705271,21367,22590,1
314,0.9187,3.0717,0.6873,1.3353,0.5296,395064476,22986,22955,0
314,0.9187,3.0717,0.6873,1.3353,0.5296,1129705271,22311,22590,1
315,1.3958,3.3473,1.0358,1.3933,0.4793,1129705271,22598,22590,0
316,1.7862,1.6389,1.4064,1.2512,0.6543,1129705271,22621,22590,0
317,1.0505,2.1055,0.4959,1.2945,0.5674,395064476,22949,22859,0
317,1.0505,2.1055,0.4959,1.2945,0.5674,1129705271,22407,22590,1
318,0.4599,1.715,1.2909,1.4598,0.5358,1129705271,22590,22590,0
319,1.4297,1.0009,1.1634,1.1304,0.5245,1129705271,22612,22590,0
320,1.9433,1.1761,0.5453,1.0449,0.7011,1129705271,22596,22590,0
321,1.5733,2.122,1.4377,1.0715,0.7048,1129705271,22591,22590,0
322,1.5455,3.1523,2.0147,1.0716,0.4438,1129705271,22596,22590,0
323,1.2701,3.3163,0.69,1.1438,0.5209,1129705271,22602,22590,0
324,1.2861,1.475,2.6527,1.1835,0.724,1129705271,22625,22590,0
325,1.0183,1.5063,0.3811,1.3515,0.5499,1129705271,22606,22590,0
326,0.6746,2.8986,0.4712,1.3726,0.454,1010701430,22563,48289,1
326,0.6746,2.8986,0.4712,1.3726,0.454,1673570350,20746,162312,1
326,0.6746,2.8986,0.4712,1.3726,0.454,1511508930,20668,2e+05,1
326,0.6746,2.8986,0.4712,1.3726,0.454,395064476,21671,24724,1
326,0.6746,2.8986,0.4712,1.3726,0.454,2037563455,21608,185216,1
326,0.6746,2.8986,0.4712,1.3726,0.454,1177142122,20825,116170,1
326,0.6746,2.8986,0.4712,1.3726,0.454,976064959,20370,138639,1
326,0.6746,2.8986,0.4712,1.3726,0.454,926352561,21283,70082,1
326,0.6746,2.8986,0.4712,1.3726,0.454,1590962420,21030,93678,1
326,0.6746,2.8986,0.4712,1.3726,0.454,1129705271,20542,22590,1
327,0.5094,1.0146,1.5355,1.2659,0.6299,1129705271,22675,22590,0
328,0.9495,1.4662,0.8752,1.295,0.7294,1129705271,22636,22590,0
329,1.5687,1.1544,0.4972,1.1862,0.6889,1129705271,22611,22590,0
330,1.4558,1.2555,0.9492,1.3606,0.4446,1129705271,22602,22590,0
331,0.9753,1.0961,0.7262,1.0503,0.6238,1129705271,22601,22590,0
332,1.2287,1.3097,0.7508,1.1841,0.7246,1129705271,22646,22590,0
333,1.1006,1.3181,0.9719,1.049,0.7283,1129705271,22610,22590,0
334,1.1623,2.6567,0.3349,1.3864,0.4373,395064476,23096,22859,0
334,1.1623,2.6567,0.3349,1.3864,0.4373,1129705271,22407,22590,1
335,1.0206,2.547,1.7552,1.3353,0.5532,1129705271,22590,22590,0
336,0.9828,1.5135,0.5268,1.0423,0.7443,1129705271,22611,22590,0
337,0.5256,1.687,0.8594,1.1579,0.7024,976964627,19664,2e+05,1
337,0.5256,1.687,0.8594,1.1579,0.7024,1010701430,19688,49117,1
337,0.5256,1.687,0.8594,1.1579,0.7024,917007886,19581,2e+05,1
337,0.5256,1.687,0.8594,1.1579,0.7024,1673570350,20358,163140,1
337,0.5256,1.687,0.8594,1.1579,0.7024,1511508930,19909,2e+05,1
337,0.5256,1.687,0.8594,1.1579,0.7024,395064476,21038,25552,1
337,0.5256,1.687,0.8594,1.1579,0.7024,2037563455,21216,186044,1
337,0.5256,1.687,0.8594,1.1579,0.7024,1177142122,19317,116998,1
337,0.5256,1.687,0.8594,1.1579,0.7024,976064959,20143,139467,1
337,0.5256,1.687,0.8594,1.1579,0.7024,926352561,20147,70910,1
337,0.5256,1.687,0.8594,1.1579,0.7024,1590962420,20407,94506,1
337,0.5256,1.687,0.8594,1.1579,0.7024,1129705271,19714,22590,1
337,0.5256,1.687,0.8594,1.1579,0.7024,633393695,20356,2e+05,1
337,0.5256,1.687,0.8594,1.1579,0.7024,1308842760,19546,2e+05,1
