configuration_id,LL_dynamic_01_a,LL_dynamic_01_b,seed,time,bound,solved
1,1.6535,0.6944,914123138,204001,2e+05,0
2,1.9803,0.6383,914123138,204093,2e+05,0
3,2.4651,0.7252,914123138,200588,2e+05,0
4,2.1402,0.7089,914123138,202512,2e+05,0
5,1.9255,0.7165,914123138,202237,2e+05,0
6,1.763,0.5956,914123138,202103,2e+05,0
7,2.3083,0.4843,914123138,202243,2e+05,0
8,2.0571,0.4725,914123138,139330,2e+05,1
9,2.2182,0.6897,914123138,205241,2e+05,0
10,2.3809,0.7706,914123138,203366,2e+05,0
11,2.4739,0.576,914123138,206425,2e+05,0
12,1.6466,0.6618,914123138,203447,2e+05,0
13,1.6948,0.9687,914123138,203150,2e+05,0
14,2.3172,0.9151,914123138,204067,2e+05,0
15,2.3595,0.6499,914123138,206672,2e+05,0
16,1.5091,0.9391,914123138,203830,2e+05,0
17,1.0596,0.7319,914123138,29468,2e+05,1
17,1.0596,0.7319,123368905,32181,2e+05,1
17,1.0596,0.7319,1487355723,29320,2e+05,1
17,1.0596,0.7319,1157073988,31327,2e+05,1
17,1.0596,0.7319,270422674,30333,2e+05,1
17,1.0596,0.7319,673218025,30957,2e+05,1
17,1.0596,0.7319,607386998,31582,2e+05,1
17,1.0596,0.7319,684311997,30054,2e+05,1
17,1.0596,0.7319,2112837894,30920,2e+05,1
17,1.0596,0.7319,230499717,29939,2e+05,1
17,1.0596,0.7319,596850252,31765,2e+05,1
18,1.1155,0.4789,914123138,31910,2e+05,1
19,2.0761,0.982,914123138,206313,2e+05,0
20,1.554,0.5548,914123138,56043,2e+05,1
21,1.2991,0.6035,914123138,36505,2e+05,1
22,1.8653,0.7673,914123138,202586,2e+05,0
23,1.82,0.618,914123138,203210,2e+05,0
24,1.8802,0.5676,914123138,203249,2e+05,0
25,1.0233,0.9725,914123138,44929,2e+05,1
26,1.4348,0.645,914123138,62102,2e+05,1
27,1.1606,0.495,914123138,32764,2e+05,1
28,1.1282,0.4042,914123138,36241,2e+05,1
29,2.1506,0.512,914123138,201958,2e+05,0
30,2.2524,0.6598,914123138,204388,2e+05,0
31,1.2187,0.834,914123138,200605,2e+05,0
32,2.1034,0.6537,914123138,202663,2e+05,0
33,1.2559,0.5751,914123138,34540,2e+05,1
