configuration_id,LL_static_lambda1,LL_static_lambda2,LL_static_lda,LL_static_crossOverBias,seed,time,bound,solved
1,60,55,97,0.3468,976964627,150075,150000,0
2,66,69,8,0.4394,976964627,10451,150000,1
3,51,55,65,0.381,976964627,150096,150000,0
4,64,65,7,0.0757,976964627,9667,150000,1
5,94,88,40,0.2317,976964627,98820,150000,1
6,90,33,61,0.3601,976964627,150060,150000,0
7,5,98,98,0.0604,976964627,55897,150000,1
8,22,66,66,0.3745,976964627,150040,150000,0
9,25,72,91,0.3773,976964627,150059,150000,0
10,1,38,99,0.2747,976964627,150033,150000,0
11,20,68,35,0.2976,976964627,150036,150000,0
12,43,44,67,0.0502,976964627,13259,150000,1
13,100,19,37,0.2798,976964627,150058,150000,0
14,73,78,64,0.2003,976964627,150094,150000,0
15,63,73,47,0.1756,976964627,104431,150000,1
16,52,48,45,0.295,976964627,150000,150000,0
17,67,98,16,0.2984,976964627,14269,150000,1
18,64,28,55,0.2257,976964627,150052,150000,0
19,54,59,9,0.0732,976964627,9068,150000,1
20,24,67,28,0.1162,976964627,9918,150000,1
21,46,82,20,0.2694,976964627,15811,150000,1
22,29,84,70,0.0699,976964627,25288,150000,1
23,7,65,50,0.1586,976964627,150068,150000,0
24,2,34,6,0.2201,976964627,10897,150000,1
25,77,67,78,0.3588,976964627,150048,150000,0
26,100,18,54,0.4111,976964627,150096,150000,0
27,85,73,15,0.4566,976964627,21146,150000,1
28,64,47,23,0.3198,976964627,63692,150000,1
29,64,56,56,0.0885,976964627,21413,150000,1
30,26,28,44,0.1585,976964627,84038,150000,1
31,4,74,10,0.4752,976964627,39628,150000,1
32,10,56,37,0.1388,976964627,21015,150000,1
33,79,16,62,0.2324,976964627,150005,150000,0
34,67,67,75,0.3259,976964627,150080,150000,0
35,66,13,27,0.4398,976964627,150021,150000,0
36,1,75,41,0.0235,976964627,13775,150000,1
37,87,60,52,0.3735,976964627,150087,150000,0
38,15,73,25,0.112,976964627,11358,150000,1
39,78,25,94,0.289,976964627,150071,150000,0
40,18,35,68,0.3284,976964627,150043,150000,0
41,32,41,45,0.1315,976964627,52257,150000,1
42,62,54,84,0.1528,976964627,150104,150000,0
43,81,65,59,0.3657,976964627,150088,150000,0
44,88,99,17,0.3718,976964627,20739,150000,1
45,53,79,57,0.2046,976964627,150084,150000,0
46,64,35,21,0.2106,976964627,14783,150000,1
47,54,51,38,0.2443,976964627,150034,150000,0
48,20,60,2,0.0571,976964627,5370,150000,1
48,20,60,2,0.0571,1010701430,5800,150000,1
48,20,60,2,0.0571,917007886,5711,150000,1
48,20,60,2,0.0571,1673570350,5622,150000,1
48,20,60,2,0.0571,1511508930,5107,150000,1
48,20,60,2,0.0571,395064476,5701,150000,1
48,20,60,2,0.0571,2037563455,5244,150000,1
48,20,60,2,0.0571,1177142122,5187,150000,1
48,20,60,2,0.0571,976064959,5649,150000,1
48,20,60,2,0.0571,926352561,5439,150000,1
48,20,60,2,0.0571,1590962420,5693,150000,1
48,20,60,2,0.0571,1129705271,5977,150000,1
49,94,63,43,0.0654,976964627,14714,150000,1
