A	successRate	result
1.94	1.3	150840
1.94	1.4	150849
1.94	1.5	150745
1.94	1.6	150753
1.94	1.7	150716
1.94	1.8	150652
1.94	1.9	150706
1.94	2	74657
1.94	2.1	25689
1.94	2.2	20106
1.94	2.3	17337
1.94	2.4	16558
1.96	1	150646
1.96	1.1	150735
1.96	1.2	150831
1.96	1.3	150924
1.96	1.4	150773
1.96	1.5	150898
1.96	1.6	150913
1.96	1.7	150483
1.96	1.8	151007
1.96	1.9	150433
1.96	2	48123
1.96	2.1	25524
1.96	2.2	20812
1.96	2.3	18484
1.96	2.4	16741
1.98	1	150882
1.98	1.1	150743
1.98	1.2	150736
1.98	1.3	150899
1.98	1.4	150764
1.98	1.5	150779
1.98	1.6	150917
1.98	1.7	150619
1.98	1.8	151000
1.98	1.9	150708
1.98	2	73126
1.98	2.1	25274
1.98	2.2	20533
1.98	2.3	18182
2.00	1	151098
2.00	1.1	150752
2.00	1.2	150768
2.00	1.3	150746
2.00	1.4	150919
2.00	1.5	150819
2.00	1.6	150697
2.00	1.7	150830
2.00	1.8	150967
2.00	1.9	150846
2.00	2	42060
2.00	2.1	24914
2.00	2.2	21050
2.00	2.3	18679
