configuration_id,LL_dynamic_02_alpha,LL_dynamic_02_beta,LL_dynamic_02_gamma,LL_dynamic_02_a,LL_dynamic_02_b,seed,time,bound,solved
1,1,1,1,1.1,0.7,976964627,10097,150000,1
1,1,1,1,1.1,0.7,1010701430,9227,150000,1
1,1,1,1,1.1,0.7,917007886,9080,150000,1
1,1,1,1,1.1,0.7,1673570350,9667,150000,1
1,1,1,1,1.1,0.7,1511508930,9006,150000,1
1,1,1,1,1.1,0.7,395064476,10722,150000,1
1,1,1,1,1.1,0.7,2037563455,9889,150000,1
1,1,1,1,1.1,0.7,1177142122,10771,150000,1
1,1,1,1,1.1,0.7,976064959,9792,150000,1
1,1,1,1,1.1,0.7,926352561,9874,150000,1
1,1,1,1,1.1,0.7,1590962420,10574,150000,1
1,1,1,1,1.1,0.7,1129705271,10912,150000,1
2,6.1228,5.8986,9.6161,2.0342,0.7851,976964627,150384,150000,0
3,6.9471,1.7189,8.8045,1.7672,0.7227,976964627,152170,150000,0
4,6.5276,7.8135,6.5102,1.967,0.4358,976964627,151416,150000,0
5,1.6272,9.4438,8.8393,1.5978,0.667,976964627,150178,150000,0
6,8.9571,3.9143,6.2031,2.0746,0.425,976964627,151533,150000,0
7,9.7307,9.7472,1.3249,1.3309,0.7873,976964627,155087,150000,0
8,6.64,7.6943,2.6938,2.0818,0.9355,976964627,161598,150000,0
9,7.5786,1.0401,3.9986,2.4788,0.7187,976964627,150500,150000,0
10,2.1938,7.0495,3.6465,1.8845,0.6524,976964627,154174,150000,0
11,4.5452,6.9684,1.1232,2.4934,0.5063,976964627,156345,150000,0
12,3.8491,5.9556,7.3293,2.1605,0.7758,976964627,158952,150000,0
13,4.0858,6.6453,7.3385,1.7084,0.5994,976964627,152575,150000,0
14,5.3186,5.2645,4.6001,1.8767,0.7949,976964627,151665,150000,0
15,9.727,2.4364,6.0207,1.9496,0.5603,976964627,151730,150000,0
16,5.5722,4.9614,5.4792,1.8845,0.4494,976964627,150223,150000,0
17,1.5768,3.1362,6.7397,1.4256,0.5279,976964627,150104,150000,0
18,4.7128,8.3386,2.2452,1.7988,0.5666,976964627,151210,150000,0
19,8.4526,7.2487,1.5129,1.1117,0.7817,976964627,150912,150000,0
20,5.0736,3.7293,0.4844,1.509,0.4335,976964627,45212,150000,1
