configuration_id,LL_dynamic_01_a,LL_dynamic_01_b,seed,time,bound,solved
1,1.6535,0.6944,914123138,310565,3e+05,0
2,1.9803,0.6383,914123138,303399,3e+05,0
3,2.4651,0.7252,914123138,303196,3e+05,0
4,2.1402,0.7089,914123138,307698,3e+05,0
5,1.9255,0.7165,914123138,314386,3e+05,0
6,1.763,0.5956,914123138,305042,3e+05,0
7,2.3083,0.4843,914123138,312707,3e+05,0
8,2.0571,0.4725,914123138,301378,3e+05,0
9,2.2182,0.6897,914123138,313089,3e+05,0
10,2.3809,0.7706,914123138,309077,3e+05,0
11,2.4739,0.576,914123138,311352,3e+05,0
12,1.6466,0.6618,914123138,302076,3e+05,0
13,1.6948,0.9687,914123138,312684,3e+05,0
14,2.3172,0.9151,914123138,308739,3e+05,0
15,2.3595,0.6499,914123138,301754,3e+05,0
16,1.5091,0.9391,914123138,302712,3e+05,0
17,1.0596,0.7319,914123138,64149,3e+05,1
18,1.1155,0.4789,914123138,63918,3e+05,1
19,2.0761,0.982,914123138,311339,3e+05,0
20,1.554,0.5548,914123138,183454,3e+05,1
21,1.2991,0.6035,914123138,83897,3e+05,1
22,1.8653,0.7673,914123138,314309,3e+05,0
23,1.82,0.618,914123138,304858,3e+05,0
24,1.8802,0.5676,914123138,308157,3e+05,0
25,1.0233,0.9725,914123138,95332,3e+05,1
26,1.4348,0.645,914123138,157174,3e+05,1
27,1.1606,0.495,914123138,62154,3e+05,1
27,1.1606,0.495,123368905,64902,3e+05,1
27,1.1606,0.495,1487355723,61600,3e+05,1
27,1.1606,0.495,1157073988,64748,3e+05,1
27,1.1606,0.495,270422674,65126,3e+05,1
27,1.1606,0.495,673218025,69118,3e+05,1
27,1.1606,0.495,607386998,61413,3e+05,1
27,1.1606,0.495,684311997,65219,3e+05,1
27,1.1606,0.495,2112837894,63805,3e+05,1
27,1.1606,0.495,230499717,68199,3e+05,1
28,1.1282,0.4042,914123138,68705,3e+05,1
29,2.1506,0.512,914123138,312238,3e+05,0
30,2.2524,0.6598,914123138,310417,3e+05,0
31,1.2187,0.834,914123138,301899,3e+05,0
32,2.1034,0.6537,914123138,314075,3e+05,0
33,1.2559,0.5751,914123138,73197,3e+05,1
