configuration_id,LL_dynamic_02_alpha,LL_dynamic_02_beta,LL_dynamic_02_gamma,LL_dynamic_02_a,LL_dynamic_02_b,seed,time,bound,solved
1443,0.3768,1.6575,1.0636,1.163,0.7106,976064959,35708,250000,1
1443,0.3768,1.6575,1.0636,1.163,0.7106,926352561,34712,250000,1
1443,0.3768,1.6575,1.0636,1.163,0.7106,1590962420,33775,173584,1
1443,0.3768,1.6575,1.0636,1.163,0.7106,1129705271,33214,139430,1
1443,0.3768,1.6575,1.0636,1.163,0.7106,633393695,34595,250000,1
1443,0.3768,1.6575,1.0636,1.163,0.7106,1308842760,36541,250000,1
1443,0.3768,1.6575,1.0636,1.163,0.7106,1765008485,33790,71295,1
1443,0.3768,1.6575,1.0636,1.163,0.7106,1587282285,35691,250000,1
1443,0.3768,1.6575,1.0636,1.163,0.7106,2054376405,33520,35043,1
1443,0.3768,1.6575,1.0636,1.163,0.7106,1665618392,34428,250000,1
1443,0.3768,1.6575,1.0636,1.163,0.7106,461239757,33582,250000,1
1444,0.5105,1.5572,0.8968,1.1401,0.6866,976964627,36224,104025,1
1444,0.5105,1.5572,0.8968,1.1401,0.6866,1673570350,35448,35451,1
1444,0.5105,1.5572,0.8968,1.1401,0.6866,1765008485,34521,71045,1
1444,0.5105,1.5572,0.8968,1.1401,0.6866,2054376405,33770,35043,1
1445,0.5161,1.5543,0.8887,1.1392,0.6867,1673570350,34431,35021,1
1445,0.5161,1.5543,0.8887,1.1392,0.6867,1765008485,36319,70615,1
1445,0.5161,1.5543,0.8887,1.1392,0.6867,2054376405,34200,35043,1
1446,0.5091,1.5656,0.8935,1.1391,0.6863,2054376405,35075,35043,0
1447,0.3586,1.7173,1.1308,1.1612,0.703,2054376405,35181,35043,0
1448,0.3796,1.6507,1.0616,1.1636,0.7107,1673570350,34623,34619,0
1448,0.3796,1.6507,1.0616,1.1636,0.7107,2054376405,34602,35043,1
1449,0.5151,1.5602,0.8941,1.1393,0.6866,2054376405,35044,35043,0
1450,0.5138,1.559,0.8899,1.1392,0.6866,1673570350,34347,34283,0
1450,0.5138,1.559,0.8899,1.1392,0.6866,2054376405,34938,35043,1
1451,0.3525,1.7187,1.1301,1.161,0.7032,976964627,35414,103989,1
1451,0.3525,1.7187,1.1301,1.161,0.7032,1673570350,34565,35415,1
1451,0.3525,1.7187,1.1301,1.161,0.7032,1765008485,35582,71009,1
1451,0.3525,1.7187,1.1301,1.161,0.7032,2054376405,33806,35043,1
1452,0.5087,1.5572,0.8909,1.1388,0.6865,1673570350,34486,34422,0
1452,0.5087,1.5572,0.8909,1.1388,0.6865,2054376405,34799,35043,1
1453,0.3499,1.7193,1.1294,1.1601,0.7032,2054376405,35090,35043,0
1454,0.377,1.6528,1.0598,1.1639,0.7106,1673570350,34995,34964,0
