configuration_id,LL_static_lambda1,LL_static_lambda2,LL_static_lda,LL_static_crossOverBias,seed,time,bound,solved
1,60,55,97,0.3468,976964627,250010,250000,0
2,66,69,8,0.4394,976964627,190356,250000,1
3,51,55,65,0.381,976964627,250054,250000,0
4,64,65,7,0.0757,976964627,145883,250000,1
5,94,88,40,0.2317,976964627,250056,250000,0
6,90,33,61,0.3601,976964627,250059,250000,0
7,5,98,98,0.0604,976964627,250089,250000,0
8,22,66,66,0.3745,976964627,250008,250000,0
9,25,72,91,0.3773,976964627,250066,250000,0
10,1,38,99,0.2747,976964627,250029,250000,0
11,20,68,35,0.2976,976964627,250002,250000,0
12,43,44,67,0.0502,976964627,183902,250000,1
13,100,19,37,0.2798,976964627,250018,250000,0
14,73,78,64,0.2003,976964627,250056,250000,0
15,63,73,47,0.1756,976964627,250069,250000,0
16,52,48,45,0.295,976964627,250000,250000,0
17,67,98,16,0.2984,976964627,230671,250000,1
18,64,28,55,0.2257,976964627,250056,250000,0
19,54,59,9,0.0732,976964627,136172,250000,1
20,24,67,28,0.1162,976964627,156638,250000,1
21,46,82,20,0.2694,976964627,250029,250000,0
22,29,84,70,0.0699,976964627,250021,250000,0
23,7,65,50,0.1586,976964627,250049,250000,0
24,2,34,6,0.2201,976964627,190667,250000,1
25,77,67,78,0.3588,976964627,250128,250000,0
26,100,18,54,0.4111,976964627,250042,250000,0
27,85,73,15,0.4566,976964627,250074,250000,0
28,64,47,23,0.3198,976964627,250024,250000,0
29,64,56,56,0.0885,976964627,250095,250000,0
30,26,28,44,0.1585,976964627,250010,250000,0
31,4,74,10,0.4752,976964627,250007,250000,0
32,10,56,37,0.1388,976964627,250020,250000,0
33,79,16,62,0.2324,976964627,250039,250000,0
34,67,67,75,0.3259,976964627,250044,250000,0
35,66,13,27,0.4398,976964627,250035,250000,0
36,1,75,41,0.0235,976964627,235112,250000,1
37,87,60,52,0.3735,976964627,250047,250000,0
38,15,73,25,0.112,976964627,156494,250000,1
39,78,25,94,0.289,976964627,250084,250000,0
40,18,35,68,0.3284,976964627,250001,250000,0
41,32,41,45,0.1315,976964627,250066,250000,0
42,62,54,84,0.1528,976964627,250096,250000,0
43,81,65,59,0.3657,976964627,250098,250000,0
44,88,99,17,0.3718,976964627,250131,250000,0
45,53,79,57,0.2046,976964627,250008,250000,0
46,64,35,21,0.2106,976964627,217565,250000,1
47,54,51,38,0.2443,976964627,250100,250000,0
48,20,60,2,0.0571,976964627,99985,250000,1
48,20,60,2,0.0571,1010701430,82669,250000,1
48,20,60,2,0.0571,917007886,84803,250000,1
48,20,60,2,0.0571,1673570350,90062,250000,1
48,20,60,2,0.0571,1511508930,88189,250000,1
48,20,60,2,0.0571,395064476,94248,250000,1
48,20,60,2,0.0571,2037563455,87783,250000,1
48,20,60,2,0.0571,1177142122,87571,250000,1
48,20,60,2,0.0571,976064959,96722,250000,1
48,20,60,2,0.0571,926352561,102350,250000,1
48,20,60,2,0.0571,1590962420,87911,250000,1
48,20,60,2,0.0571,1129705271,97151,250000,1
49,94,63,43,0.0654,976964627,214600,250000,1
50,74,44,1,0.4498,976964627,247813,250000,1
51,92,21,12,0.2086,976964627,183656,250000,1
52,63,13,32,0.027,976964627,204069,250000,1
53,44,71,52,0.2922,976964627,250010,250000,0
54,81,74,74,0.2779,976964627,250015,250000,0
55,68,31,88,0.1634,976964627,250074,250000,0
56,26,18,76,0.4821,976964627,250008,250000,0
57,52,84,94,0.4103,976964627,250104,250000,0
58,78,38,66,0.1832,976964627,250094,250000,0
59,73,58,25,0.2185,976964627,250106,250000,0
60,23,7,61,0.22,976964627,250019,250000,0
61,3,66,69,0.1025,976964627,250000,250000,0
62,13,74,19,0.1647,976964627,151653,250000,1
63,47,6,97,0.0317,976964627,250030,250000,0
64,73,28,97,0.1291,976964627,250076,250000,0
65,93,75,41,0.2226,976964627,250135,250000,0
66,32,44,10,0.2144,976964627,113644,250000,1
67,37,75,91,0.2938,976964627,250096,250000,0
68,3,25,68,0.2577,976964627,250012,250000,0
69,80,5,29,0.2976,976964627,250069,250000,0
70,56,98,86,0.1818,976964627,250096,250000,0
71,82,39,51,0.2486,976964627,250107,250000,0
72,19,75,39,0.0623,976964627,145502,250000,1
73,13,13,20,0.3791,976964627,250023,250000,0
74,77,48,8,0.3797,976964627,165989,250000,1
75,16,38,45,0.0323,976964627,97426,250000,1
75,16,38,45,0.0323,1010701430,99553,250000,1
75,16,38,45,0.0323,917007886,98140,250000,1
75,16,38,45,0.0323,1673570350,108140,250000,1
75,16,38,45,0.0323,1511508930,95139,250000,1
75,16,38,45,0.0323,395064476,95935,250000,1
75,16,38,45,0.0323,2037563455,100492,250000,1
75,16,38,45,0.0323,1177142122,97617,250000,1
75,16,38,45,0.0323,976064959,102110,250000,1
75,16,38,45,0.0323,926352561,102701,250000,1
76,58,7,82,0.3181,976964627,250055,250000,0
77,19,20,34,0.4903,976964627,250029,250000,0
78,77,13,28,0.121,976964627,250077,250000,0
79,68,69,72,0.4753,976964627,250025,250000,0
80,26,27,10,0.3414,976964627,118604,250000,1
81,49,5,76,0.1736,976964627,250020,250000,0
82,46,24,7,0.2393,976964627,109796,250000,1
83,85,18,31,0.4699,976964627,250084,250000,0
84,100,27,22,0.144,976964627,220210,250000,1
85,54,25,93,0.0105,976964627,191883,250000,1
86,12,80,72,0.2978,976964627,250056,250000,0
87,37,72,17,0.2519,976964627,176182,250000,1
88,47,82,27,0.3294,976964627,250112,250000,0
89,79,48,60,0.3444,976964627,250063,250000,0
90,26,40,13,0.205,976964627,117266,250000,1
91,65,22,43,0.3918,976964627,250038,250000,0
92,3,27,60,0.1116,976964627,250028,250000,0
93,48,41,55,0.1385,976964627,250014,250000,0
94,30,33,97,0.3549,976964627,250047,250000,0
95,3,25,69,0.3707,976964627,250012,250000,0
96,79,13,75,0.0862,976964627,250087,250000,0
97,44,5,58,0.1145,976964627,250009,250000,0
98,77,16,33,0.2517,976964627,250063,250000,0
99,85,36,55,0.1733,976964627,250101,250000,0
100,5,61,70,0.3686,976964627,250008,250000,0
101,88,86,26,0.3131,976964627,250005,250000,0
102,17,94,70,0.1356,976964627,250067,250000,0
103,86,96,67,0.2546,976964627,250068,250000,0
104,13,34,55,0.0462,976964627,115776,250000,1
105,4,40,62,0.1067,976964627,250037,250000,0
106,41,78,52,0.1385,976964627,250019,250000,0
107,44,35,19,0.3332,976964627,250008,250000,0
108,91,99,92,0.1168,976964627,250035,250000,0
109,68,73,1,0.3974,976964627,241954,250000,1
110,57,42,7,0.3141,976964627,134077,250000,1
111,20,59,34,0.4369,976964627,250035,250000,0
112,22,34,16,0.4362,976964627,250051,250000,0
113,50,15,25,0.3373,976964627,250045,250000,0
114,18,75,12,0.0234,976964627,81618,116473,1
114,18,75,12,0.0234,1010701430,82977,99465,1
114,18,75,12,0.0234,917007886,82926,119658,1
114,18,75,12,0.0234,1673570350,82257,140898,1
114,18,75,12,0.0234,1511508930,87767,93629,1
114,18,75,12,0.0234,395064476,83314,100110,1
114,18,75,12,0.0234,1177142122,79377,146212,1
114,18,75,12,0.0234,976064959,82618,133454,1
114,18,75,12,0.0234,926352561,82421,169185,1
114,18,75,12,0.0234,1590962420,82472,87912,1
115,42,66,36,0.0423,1590962420,87932,87912,0
116,15,62,14,0.0855,1590962420,87956,87912,0
117,36,71,6,0.0812,1590962420,87943,87912,0
118,36,59,4,0.0851,1590962420,87949,87912,0
119,2,72,5,0.1294,1590962420,87920,87912,0
120,8,77,4,0.0571,1590962420,87921,87912,0
121,10,58,12,0.0501,976964627,91793,108615,1
121,10,58,12,0.0501,1010701430,84269,97308,1
121,10,58,12,0.0501,917007886,82761,113346,1
121,10,58,12,0.0501,1673570350,90719,126458,1
121,10,58,12,0.0501,1511508930,84661,89197,1
121,10,58,12,0.0501,395064476,81084,98949,1
121,10,58,12,0.0501,1177142122,80663,135049,1
121,10,58,12,0.0501,976064959,84122,123859,1
121,10,58,12,0.0501,926352561,86021,153695,1
121,10,58,12,0.0501,1590962420,86904,87912,1
122,4,83,16,0.0998,1590962420,87946,87912,0
123,52,77,14,0.1009,1590962420,87977,87912,0
124,26,55,28,0.1234,1590962420,87930,87912,0
125,26,46,8,0.0823,1590962420,87931,87912,0
126,17,66,1,0.1208,1590962420,87943,87912,0
127,4,92,2,0.0595,1590962420,87912,87912,0
128,17,71,15,0.0648,1590962420,87970,87912,0
129,34,60,16,0.0641,1590962420,87945,87912,0
130,26,38,6,0.1039,976964627,90971,127718,1
130,26,38,6,0.1039,1010701430,85446,103861,1
130,26,38,6,0.1039,917007886,92948,138817,1
130,26,38,6,0.1039,1673570350,85222,179984,1
130,26,38,6,0.1039,1511508930,88940,88986,1
130,26,38,6,0.1039,395064476,89239,95676,1
130,26,38,6,0.1039,1177142122,84341,191012,1
130,26,38,6,0.1039,976064959,88355,167311,1
130,26,38,6,0.1039,926352561,88663,225166,1
130,26,38,6,0.1039,1590962420,87115,87912,1
131,10,76,21,0.0568,1590962420,87931,87912,0
132,19,76,17,0.1255,1590962420,87943,87912,0
133,38,73,5,0.0583,1590962420,87948,87912,0
134,50,57,10,0.231,1590962420,87964,87912,0
135,6,58,20,0.0275,976964627,78011,162440,1
135,6,58,20,0.0275,1010701430,80964,130629,1
135,6,58,20,0.0275,917007886,86744,180727,1
135,6,58,20,0.0275,1673570350,77956,219875,1
135,6,58,20,0.0275,1511508930,81878,95500,1
135,6,58,20,0.0275,395064476,84880,115419,1
135,6,58,20,0.0275,1177142122,82645,238633,1
135,6,58,20,0.0275,976064959,83693,208578,1
135,6,58,20,0.0275,926352561,84673,250000,1
135,6,58,20,0.0275,1590962420,80601,87912,1
136,17,58,10,0.0546,976964627,86584,149507,1
136,17,58,10,0.0546,1010701430,85119,118872,1
136,17,58,10,0.0546,917007886,89868,143851,1
136,17,58,10,0.0546,1673570350,87475,188768,1
136,17,58,10,0.0546,1511508930,82279,89652,1
136,17,58,10,0.0546,395064476,91203,100966,1
136,17,58,10,0.0546,1177142122,84103,190638,1
136,17,58,10,0.0546,976064959,88624,165283,1
136,17,58,10,0.0546,926352561,84015,219571,1
136,17,58,10,0.0546,1590962420,86449,87912,1
137,35,32,34,0.0221,1590962420,87929,87912,0
138,13,73,11,0.0767,1590962420,87945,87912,0
139,34,74,14,0.0806,1590962420,87952,87912,0
140,10,45,8,0.0652,976964627,72612,250000,1
140,10,45,8,0.0652,1010701430,95692,191463,1
140,10,45,8,0.0652,917007886,71496,250000,1
140,10,45,8,0.0652,1673570350,70591,250000,1
140,10,45,8,0.0652,1511508930,71306,95401,1
140,10,45,8,0.0652,395064476,72295,108794,1
140,10,45,8,0.0652,1177142122,72755,250000,1
140,10,45,8,0.0652,976064959,76719,250000,1
140,10,45,8,0.0652,926352561,73679,250000,1
140,10,45,8,0.0652,1590962420,80700,87912,1
141,16,53,17,0.061,1590962420,87964,87912,0
142,23,72,19,0.026,1590962420,87924,87912,0
143,22,58,15,0.0979,1590962420,87919,87912,0
144,9,69,17,0.0676,1590962420,87913,87912,0
145,24,59,17,0.1398,1590962420,87922,87912,0
146,22,47,26,0.0813,1590962420,87943,87912,0
147,5,73,5,0.0448,976964627,92661,250000,1
147,5,73,5,0.0448,1010701430,86687,250000,1
147,5,73,5,0.0448,917007886,86717,250000,1
147,5,73,5,0.0448,1673570350,85015,250000,1
147,5,73,5,0.0448,1511508930,83994,90584,1
