configuration_id,LL_dynamic_01_a,LL_dynamic_01_b,seed,time,bound,solved
1,1.6535,0.6944,914123138,150960,150000,0
2,1.9803,0.6383,914123138,151357,150000,0
3,2.4651,0.7252,914123138,150693,150000,0
4,2.1402,0.7089,914123138,151331,150000,0
5,1.9255,0.7165,914123138,150284,150000,0
6,1.763,0.5956,914123138,150230,150000,0
7,2.3083,0.4843,914123138,151402,150000,0
8,2.0571,0.4725,914123138,36465,150000,1
9,2.2182,0.6897,914123138,150781,150000,0
10,2.3809,0.7706,914123138,151119,150000,0
11,2.4739,0.576,914123138,151364,150000,0
12,1.6466,0.6618,914123138,150391,150000,0
13,1.6948,0.9687,914123138,151163,150000,0
14,2.3172,0.9151,914123138,151142,150000,0
15,2.3595,0.6499,914123138,151106,150000,0
16,1.5091,0.9391,914123138,151392,150000,0
17,1.0596,0.7319,914123138,6847,150000,1
18,1.1155,0.4789,914123138,7039,150000,1
19,2.0761,0.982,914123138,150319,150000,0
20,1.554,0.5548,914123138,10794,150000,1
21,1.2991,0.6035,914123138,7359,150000,1
22,1.8653,0.7673,914123138,150912,150000,0
23,1.82,0.618,914123138,150886,150000,0
24,1.8802,0.5676,914123138,151068,150000,0
25,1.0233,0.9725,914123138,7268,150000,1
26,1.4348,0.645,914123138,13966,150000,1
27,1.1606,0.495,914123138,7058,150000,1
28,1.1282,0.4042,914123138,6996,150000,1
29,2.1506,0.512,914123138,151604,150000,0
30,2.2524,0.6598,914123138,151160,150000,0
31,1.2187,0.834,914123138,50322,150000,1
32,2.1034,0.6537,914123138,151102,150000,0
33,1.2559,0.5751,914123138,8156,150000,1
34,1.7396,0.8872,914123138,150566,150000,0
35,2.3488,0.544,914123138,150386,150000,0
36,1.5381,0.5769,914123138,9732,150000,1
37,2.2889,0.5926,914123138,150908,150000,0
38,2.2006,0.9731,914123138,151271,150000,0
39,1.8983,0.8553,914123138,150363,150000,0
40,1.7929,0.6133,914123138,151065,150000,0
41,1.1541,0.4922,914123138,6751,150000,1
42,1.9832,0.8614,914123138,150349,150000,0
43,1.7145,0.5735,914123138,36815,150000,1
44,1.8351,0.7651,914123138,150811,150000,0
45,1.4616,0.8675,914123138,150597,150000,0
46,1.1608,0.5502,914123138,6880,150000,1
47,1.9576,0.6353,914123138,151079,150000,0
48,1.0994,0.7582,914123138,6254,150000,1
48,1.0994,0.7582,123368905,6300,150000,1
48,1.0994,0.7582,1487355723,6431,150000,1
48,1.0994,0.7582,1157073988,6177,150000,1
48,1.0994,0.7582,270422674,6553,150000,1
48,1.0994,0.7582,673218025,5561,150000,1
48,1.0994,0.7582,607386998,5649,150000,1
48,1.0994,0.7582,684311997,6655,150000,1
48,1.0994,0.7582,2112837894,7070,150000,1
48,1.0994,0.7582,230499717,7097,150000,1
48,1.0994,0.7582,596850252,6126,150000,1
48,1.0994,0.7582,363287186,7232,150000,1
49,2.4604,0.7141,914123138,150335,150000,0
50,1.0177,0.4906,914123138,6913,150000,1
51,1.7495,0.7132,914123138,150418,150000,0
52,2.0164,0.6683,914123138,151025,150000,0
53,2.2835,0.8947,914123138,150393,150000,0
54,2.3861,0.6994,914123138,150479,150000,0
55,2.2167,0.4409,914123138,35603,150000,1
56,1.8624,0.5888,914123138,151106,150000,0
