configuration_id,LL_static_lambda1,LL_static_lambda2,LL_static_lda,LL_static_crossOverBias,seed,time,bound,solved
1,60,55,97,0.3468,976964627,300035,3e+05,0
2,66,69,8,0.4394,976964627,248927,3e+05,1
3,51,55,65,0.381,976964627,300086,3e+05,0
4,64,65,7,0.0757,976964627,207108,3e+05,1
5,94,88,40,0.2317,976964627,300098,3e+05,0
6,90,33,61,0.3601,976964627,300120,3e+05,0
7,5,98,98,0.0604,976964627,300085,3e+05,0
8,22,66,66,0.3745,976964627,300080,3e+05,0
9,25,72,91,0.3773,976964627,300021,3e+05,0
10,1,38,99,0.2747,976964627,300027,3e+05,0
11,20,68,35,0.2976,976964627,300071,3e+05,0
12,43,44,67,0.0502,976964627,283164,3e+05,1
13,100,19,37,0.2798,976964627,300113,3e+05,0
14,73,78,64,0.2003,976964627,300037,3e+05,0
15,63,73,47,0.1756,976964627,300109,3e+05,0
16,52,48,45,0.295,976964627,3e+05,3e+05,0
17,67,98,16,0.2984,976964627,300071,3e+05,0
18,64,28,55,0.2257,976964627,300012,3e+05,0
19,54,59,9,0.0732,976964627,185527,3e+05,1
20,24,67,28,0.1162,976964627,209893,3e+05,1
21,46,82,20,0.2694,976964627,300122,3e+05,0
22,29,84,70,0.0699,976964627,300038,3e+05,0
23,7,65,50,0.1586,976964627,300069,3e+05,0
24,2,34,6,0.2201,976964627,300003,3e+05,0
25,77,67,78,0.3588,976964627,300096,3e+05,0
26,100,18,54,0.4111,976964627,300074,3e+05,0
27,85,73,15,0.4566,976964627,300135,3e+05,0
28,64,47,23,0.3198,976964627,300070,3e+05,0
29,64,56,56,0.0885,976964627,300062,3e+05,0
30,26,28,44,0.1585,976964627,300045,3e+05,0
31,4,74,10,0.4752,976964627,300019,3e+05,0
32,10,56,37,0.1388,976964627,300013,3e+05,0
33,79,16,62,0.2324,976964627,300010,3e+05,0
34,67,67,75,0.3259,976964627,300026,3e+05,0
35,66,13,27,0.4398,976964627,300041,3e+05,0
36,1,75,41,0.0235,976964627,300020,3e+05,0
37,87,60,52,0.3735,976964627,300027,3e+05,0
38,15,73,25,0.112,976964627,207158,3e+05,1
39,78,25,94,0.289,976964627,300039,3e+05,0
40,18,35,68,0.3284,976964627,300033,3e+05,0
41,32,41,45,0.1315,976964627,3e+05,3e+05,0
42,62,54,84,0.1528,976964627,300092,3e+05,0
43,81,65,59,0.3657,976964627,300030,3e+05,0
44,88,99,17,0.3718,976964627,300176,3e+05,0
45,53,79,57,0.2046,976964627,300034,3e+05,0
46,64,35,21,0.2106,976964627,300053,3e+05,0
47,54,51,38,0.2443,976964627,300081,3e+05,0
48,20,60,2,0.0571,976964627,139235,3e+05,1
48,20,60,2,0.0571,1010701430,126209,3e+05,1
48,20,60,2,0.0571,917007886,130479,3e+05,1
48,20,60,2,0.0571,1673570350,126359,3e+05,1
48,20,60,2,0.0571,1511508930,127728,3e+05,1
48,20,60,2,0.0571,395064476,117998,3e+05,1
48,20,60,2,0.0571,2037563455,125182,3e+05,1
48,20,60,2,0.0571,1177142122,144597,3e+05,1
48,20,60,2,0.0571,976064959,146889,3e+05,1
48,20,60,2,0.0571,926352561,118738,3e+05,1
48,20,60,2,0.0571,1590962420,124707,3e+05,1
49,94,63,43,0.0654,976964627,300072,3e+05,0
50,74,44,1,0.4498,976964627,300044,3e+05,0
51,92,21,12,0.2086,976964627,248578,3e+05,1
52,63,13,32,0.027,976964627,290915,3e+05,1
53,44,71,52,0.2922,976964627,300035,3e+05,0
54,81,74,74,0.2779,976964627,300080,3e+05,0
55,68,31,88,0.1634,976964627,300069,3e+05,0
56,26,18,76,0.4821,976964627,300036,3e+05,0
57,52,84,94,0.4103,976964627,300016,3e+05,0
58,78,38,66,0.1832,976964627,300090,3e+05,0
59,73,58,25,0.2185,976964627,300075,3e+05,0
60,23,7,61,0.22,976964627,3e+05,3e+05,0
61,3,66,69,0.1025,976964627,300020,3e+05,0
62,13,74,19,0.1647,976964627,216234,3e+05,1
63,47,6,97,0.0317,976964627,300034,3e+05,0
64,73,28,97,0.1291,976964627,300071,3e+05,0
65,93,75,41,0.2226,976964627,300039,3e+05,0
66,32,44,10,0.2144,976964627,165415,3e+05,1
67,37,75,91,0.2938,976964627,300048,3e+05,0
68,3,25,68,0.2577,976964627,300020,3e+05,0
69,80,5,29,0.2976,976964627,300047,3e+05,0
70,56,98,86,0.1818,976964627,300146,3e+05,0
71,82,39,51,0.2486,976964627,300080,3e+05,0
72,19,75,39,0.0623,976964627,206649,3e+05,1
73,13,13,20,0.3791,976964627,300004,3e+05,0
74,77,48,8,0.3797,976964627,235991,3e+05,1
75,16,38,45,0.0323,976964627,137881,3e+05,1
75,16,38,45,0.0323,1010701430,148901,3e+05,1
75,16,38,45,0.0323,917007886,143603,3e+05,1
75,16,38,45,0.0323,1673570350,140131,3e+05,1
75,16,38,45,0.0323,1511508930,140558,3e+05,1
75,16,38,45,0.0323,395064476,141889,3e+05,1
75,16,38,45,0.0323,2037563455,151482,3e+05,1
75,16,38,45,0.0323,1177142122,141080,3e+05,1
75,16,38,45,0.0323,976064959,144240,3e+05,1
75,16,38,45,0.0323,926352561,150656,3e+05,1
76,58,7,82,0.3181,976964627,300040,3e+05,0
77,19,20,34,0.4903,976964627,300027,3e+05,0
78,77,13,28,0.121,976964627,300027,3e+05,0
79,68,69,72,0.4753,976964627,300030,3e+05,0
80,26,27,10,0.3414,976964627,186804,3e+05,1
81,49,5,76,0.1736,976964627,300024,3e+05,0
82,46,24,7,0.2393,976964627,158615,3e+05,1
83,85,18,31,0.4699,976964627,300039,3e+05,0
84,100,27,22,0.144,976964627,300065,3e+05,0
85,54,25,93,0.0105,976964627,278044,3e+05,1
86,12,80,72,0.2978,976964627,300012,3e+05,0
87,37,72,17,0.2519,976964627,266146,3e+05,1
88,47,82,27,0.3294,976964627,300035,3e+05,0
89,79,48,60,0.3444,976964627,300101,3e+05,0
90,26,40,13,0.205,976964627,156902,3e+05,1
91,65,22,43,0.3918,976964627,300063,3e+05,0
92,3,27,60,0.1116,976964627,300001,3e+05,0
93,48,41,55,0.1385,976964627,300056,3e+05,0
94,30,33,97,0.3549,976964627,300006,3e+05,0
95,3,25,69,0.3707,976964627,300020,3e+05,0
96,79,13,75,0.0862,976964627,300038,3e+05,0
97,44,5,58,0.1145,976964627,300044,3e+05,0
98,77,16,33,0.2517,976964627,300092,3e+05,0
99,85,36,55,0.1733,976964627,300072,3e+05,0
100,5,61,70,0.3686,976964627,300036,3e+05,0
101,88,86,26,0.3131,976964627,300104,3e+05,0
102,17,94,70,0.1356,976964627,300008,3e+05,0
103,86,96,67,0.2546,976964627,300118,3e+05,0
104,13,34,55,0.0462,976964627,179625,3e+05,1
105,4,40,62,0.1067,976964627,300012,3e+05,0
106,41,78,52,0.1385,976964627,300106,3e+05,0
107,44,35,19,0.3332,976964627,300016,3e+05,0
108,91,99,92,0.1168,976964627,300007,3e+05,0
109,68,73,1,0.3974,976964627,300034,3e+05,0
110,57,42,7,0.3141,976964627,207897,3e+05,1
111,20,59,34,0.4369,976964627,300042,3e+05,0
112,22,34,16,0.4362,976964627,300041,3e+05,0
113,50,15,25,0.3373,976964627,300026,3e+05,0
114,18,75,12,0.0234,976964627,119240,165539,1
114,18,75,12,0.0234,1010701430,113536,139840,1
114,18,75,12,0.0234,917007886,120865,176778,1
114,18,75,12,0.0234,1673570350,117549,212239,1
114,18,75,12,0.0234,1511508930,122465,135898,1
114,18,75,12,0.0234,395064476,117800,131431,1
114,18,75,12,0.0234,1177142122,127337,239287,1
114,18,75,12,0.0234,976064959,116922,202802,1
