configuration_id,LL_dynamic_01_a,LL_dynamic_01_b,seed,time,bound,solved
79,1.9819,0.5257,914123138,202780,2e+05,0
80,1.8776,0.6217,914123138,205314,2e+05,0
81,1.9692,0.8253,914123138,204012,2e+05,0
82,1.853,0.7553,914123138,205542,2e+05,0
83,1.3479,0.9138,914123138,201076,2e+05,0
84,1.1175,0.619,914123138,25575,2e+05,1
84,1.1175,0.619,123368905,26450,2e+05,1
84,1.1175,0.619,1487355723,29146,2e+05,1
84,1.1175,0.619,1157073988,25205,2e+05,1
84,1.1175,0.619,270422674,27432,2e+05,1
84,1.1175,0.619,673218025,26922,2e+05,1
84,1.1175,0.619,607386998,29799,2e+05,1
84,1.1175,0.619,684311997,27014,2e+05,1
84,1.1175,0.619,2112837894,29187,2e+05,1
84,1.1175,0.619,230499717,25320,2e+05,1
84,1.1175,0.619,596850252,28707,2e+05,1
85,2.1312,0.6202,914123138,200714,2e+05,0
86,1.7146,0.8064,914123138,204288,2e+05,0
87,1.8244,0.7101,914123138,201800,2e+05,0
88,1.9344,0.4624,914123138,78610,2e+05,1
89,2.179,0.6541,914123138,203148,2e+05,0
90,1.2885,0.7477,914123138,68907,2e+05,1
91,1.8147,0.7307,914123138,201522,2e+05,0
92,1.9649,0.8517,914123138,201772,2e+05,0
93,1.8152,0.7333,914123138,203649,2e+05,0
94,2.1768,0.6905,914123138,205464,2e+05,0
95,2.488,0.7085,914123138,204107,2e+05,0
96,1.9236,0.402,914123138,56413,2e+05,1
97,1.9299,0.5469,914123138,200414,2e+05,0
98,2.1487,0.8147,914123138,203918,2e+05,0
99,1.0895,0.4165,914123138,31732,2e+05,1
100,1.4257,0.4176,914123138,34350,2e+05,1
101,1.5145,0.7686,914123138,201623,2e+05,0
102,1.7705,0.858,914123138,201062,2e+05,0
103,2.1865,0.8835,914123138,206015,2e+05,0
104,2.0345,0.7611,914123138,202619,2e+05,0
105,1.1029,0.6432,914123138,28168,2e+05,1
106,2.165,0.9751,914123138,201037,2e+05,0
107,1.9507,0.4589,914123138,103277,2e+05,1
108,2.2233,0.97,914123138,202612,2e+05,0
109,1.9678,0.989,914123138,205829,2e+05,0
110,2.1259,0.5644,914123138,200688,2e+05,0
111,2.4133,0.4844,914123138,202772,2e+05,0
112,1.7688,0.4841,914123138,135453,2e+05,1
113,1.5311,0.8082,914123138,204079,2e+05,0
114,1.3448,0.8213,914123138,202244,2e+05,0
115,1.8749,0.66,914123138,203690,2e+05,0
116,1.1,0.4059,914123138,30210,2e+05,1
117,1.6164,0.712,914123138,201360,2e+05,0
118,1.7133,0.9319,914123138,203658,2e+05,0
119,1.574,0.7844,914123138,203966,2e+05,0
120,1.503,0.6988,914123138,200779,2e+05,0
121,1.4033,0.7663,914123138,200640,2e+05,0
122,1.3455,0.6949,914123138,49784,2e+05,1
123,1.3176,0.7734,914123138,201242,2e+05,0
124,2.2694,0.5223,914123138,203917,2e+05,0
125,1.6146,0.6093,914123138,116629,2e+05,1
126,2.3766,0.7881,914123138,204011,2e+05,0
127,2.21,0.6992,914123138,205816,2e+05,0
128,1.1702,0.7784,914123138,35383,2e+05,1
129,1.8296,0.7979,914123138,204918,2e+05,0
130,1.6564,0.4537,914123138,66993,2e+05,1
131,2.1021,0.4243,914123138,61299,2e+05,1
132,1.4671,0.8329,914123138,200503,2e+05,0
133,1.2164,0.9537,914123138,200062,2e+05,0
134,1.1106,0.5434,914123138,28792,2e+05,1
135,1.7192,0.8361,914123138,204893,2e+05,0
136,2.3011,0.6921,914123138,200043,2e+05,0
137,2.3148,0.4433,914123138,200947,2e+05,0
138,1.3636,0.7687,914123138,205377,2e+05,0
139,1.4368,0.6158,914123138,90428,2e+05,1
140,1.4146,0.974,914123138,201966,2e+05,0
141,1.3698,0.8488,914123138,205507,2e+05,0
142,2.264,0.7615,914123138,206189,2e+05,0
143,1.5007,0.5065,914123138,54538,2e+05,1
144,1.1116,0.8253,914123138,30455,2e+05,1
145,2.1713,0.7946,914123138,205788,2e+05,0
146,1.7455,0.6081,914123138,203503,2e+05,0
147,1.5557,0.5568,914123138,58066,2e+05,1
148,2.4729,0.4561,914123138,201737,2e+05,0
149,1.8469,0.8331,914123138,204942,2e+05,0
150,2.1589,0.7911,914123138,204739,2e+05,0
151,2.088,0.9115,914123138,205009,2e+05,0
152,1.0448,0.4789,596850252,29033,29031,0
153,1.038,0.604,596850252,29040,29031,0
154,1.1562,0.6103,270422674,29472,29278,0
154,1.1562,0.6103,607386998,29646,30625,1
154,1.1562,0.6103,596850252,26995,29031,1
155,1.0744,0.489,270422674,27290,27238,0
155,1.0744,0.489,607386998,28876,29571,1
155,1.0744,0.489,596850252,28049,29031,1
156,1.1053,0.6061,123368905,29275,29724,1
156,1.1053,0.6061,1157073988,27883,31503,1
156,1.1053,0.6061,270422674,27183,30850,1
156,1.1053,0.6061,673218025,27158,31941,1
156,1.1053,0.6061,607386998,28585,31408,1
156,1.1053,0.6061,684311997,30530,30607,1
156,1.1053,0.6061,596850252,26212,29031,1
157,1.1707,0.6275,607386998,30169,30023,0
157,1.1707,0.6275,596850252,27597,29031,1
158,1.219,0.4772,270422674,28423,28362,0
158,1.219,0.4772,607386998,27796,29539,1
158,1.219,0.4772,596850252,28081,29031,1
159,1.1197,0.6239,914123138,26284,27444,1
159,1.1197,0.6239,123368905,26069,31213,1
159,1.1197,0.6239,1487355723,27170,27933,1
159,1.1197,0.6239,1157073988,30045,32908,1
159,1.1197,0.6239,270422674,27813,30557,1
159,1.1197,0.6239,673218025,27919,33053,1
159,1.1197,0.6239,607386998,26360,31608,1
159,1.1197,0.6239,684311997,27733,32637,1
159,1.1197,0.6239,2112837894,27315,28077,1
159,1.1197,0.6239,230499717,27097,27193,1
159,1.1197,0.6239,596850252,26012,29031,1
160,1.1134,0.6302,1157073988,26237,27991,1
160,1.1134,0.6302,270422674,28762,30786,1
160,1.1134,0.6302,673218025,27580,29846,1
160,1.1134,0.6302,607386998,28415,30924,1
160,1.1134,0.6302,684311997,27558,27510,0
160,1.1134,0.6302,596850252,26696,29031,1
161,1.0861,0.4872,1157073988,28660,28655,0
161,1.0861,0.4872,270422674,27468,27771,1
161,1.0861,0.4872,673218025,28864,29853,1
161,1.0861,0.4872,607386998,28289,29905,1
161,1.0861,0.4872,596850252,27715,29031,1
162,1.1015,0.6333,914123138,26212,26204,0
162,1.1015,0.6333,123368905,26551,31279,1
162,1.1015,0.6333,1157073988,28406,29651,1
162,1.1015,0.6333,270422674,26408,31243,1
162,1.1015,0.6333,673218025,27256,30649,1
162,1.1015,0.6333,607386998,27376,32610,1
162,1.1015,0.6333,684311997,27059,29770,1
162,1.1015,0.6333,596850252,25010,29031,1
163,1.0617,0.6123,607386998,29372,29369,0
163,1.0617,0.6123,596850252,28251,29031,1
164,1.1837,0.4815,270422674,29844,29803,0
164,1.1837,0.4815,607386998,28605,29720,1
164,1.1837,0.4815,596850252,27900,29031,1
165,1.1202,0.4643,607386998,28672,28603,0
165,1.1202,0.4643,596850252,29017,29031,1
166,1.1084,0.5864,596850252,29068,29031,0
167,1.2169,0.4725,596850252,29095,29031,0
168,1.131,0.651,1157073988,26765,31697,1
168,1.131,0.651,270422674,26822,32337,1
168,1.131,0.651,673218025,26349,33675,1
168,1.131,0.651,607386998,27155,31441,1
168,1.131,0.651,684311997,28268,28223,0
168,1.131,0.651,596850252,26179,29031,1
169,1.0283,0.6086,596850252,29045,29031,0
170,1.2056,0.5988,607386998,28652,28631,0
170,1.2056,0.5988,596850252,28989,29031,1
171,1.0862,0.6293,270422674,29498,29683,1
171,1.0862,0.6293,607386998,28514,30667,1
