configuration_id,LL_dynamic_02_alpha,LL_dynamic_02_beta,LL_dynamic_02_gamma,LL_dynamic_02_a,LL_dynamic_02_b,seed,time,bound,solved
1,1,1,1,1.1,0.7,976964627,17243,150000,1
1,1,1,1,1.1,0.7,1010701430,18359,150000,1
1,1,1,1,1.1,0.7,917007886,17027,150000,1
1,1,1,1,1.1,0.7,1673570350,16413,150000,1
1,1,1,1,1.1,0.7,1511508930,15474,150000,1
1,1,1,1,1.1,0.7,395064476,16908,150000,1
1,1,1,1,1.1,0.7,2037563455,15897,150000,1
1,1,1,1,1.1,0.7,1177142122,17063,150000,1
1,1,1,1,1.1,0.7,976064959,17129,150000,1
1,1,1,1,1.1,0.7,926352561,15260,150000,1
1,1,1,1,1.1,0.7,1590962420,17019,150000,1
1,1,1,1,1.1,0.7,1129705271,16394,150000,1
2,6.1228,5.8986,9.6161,2.0342,0.7851,976964627,162709,150000,0
3,6.9471,1.7189,8.8045,1.7672,0.7227,976964627,155734,150000,0
4,6.5276,7.8135,6.5102,1.967,0.4358,976964627,151761,150000,0
5,1.6272,9.4438,8.8393,1.5978,0.667,976964627,153650,150000,0
6,8.9571,3.9143,6.2031,2.0746,0.425,976964627,151225,150000,0
7,9.7307,9.7472,1.3249,1.3309,0.7873,976964627,156684,150000,0
8,6.64,7.6943,2.6938,2.0818,0.9355,976964627,151325,150000,0
9,7.5786,1.0401,3.9986,2.4788,0.7187,976964627,150459,150000,0
10,2.1938,7.0495,3.6465,1.8845,0.6524,976964627,150967,150000,0
11,4.5452,6.9684,1.1232,2.4934,0.5063,976964627,158531,150000,0
12,3.8491,5.9556,7.3293,2.1605,0.7758,976964627,152267,150000,0
13,4.0858,6.6453,7.3385,1.7084,0.5994,976964627,153077,150000,0
14,5.3186,5.2645,4.6001,1.8767,0.7949,976964627,156098,150000,0
15,9.727,2.4364,6.0207,1.9496,0.5603,976964627,157467,150000,0
16,5.5722,4.9614,5.4792,1.8845,0.4494,976964627,152396,150000,0
17,1.5768,3.1362,6.7397,1.4256,0.5279,976964627,150566,150000,0
18,4.7128,8.3386,2.2452,1.7988,0.5666,976964627,152362,150000,0
19,8.4526,7.2487,1.5129,1.1117,0.7817,976964627,152518,150000,0
20,5.0736,3.7293,0.4844,1.509,0.4335,976964627,38115,150000,1
21,4.4757,7.9024,6.7846,2.1598,0.8199,976964627,153050,150000,0
22,9.9546,2.535,5.4906,2.2297,0.8959,976964627,156848,150000,0
23,7.3618,2.3051,9.1436,1.9622,0.6742,976964627,152850,150000,0
24,2.4902,6.6909,6.4342,1.8437,0.7302,976964627,165103,150000,0
25,1.8791,3.2925,3.0044,1.6541,0.5788,976964627,154048,150000,0
26,0.6719,7.6245,1.2034,2.4246,0.4575,976964627,158478,150000,0
27,5.6807,4.2919,2.8714,2.1793,0.4919,976964627,155237,150000,0
28,6.3072,5.0848,6.7333,1.9951,0.8419,976964627,151664,150000,0
29,6.5633,6.9046,1.5025,1.4057,0.9175,976964627,153158,150000,0
30,0.3667,7.7262,4.2653,1.0511,0.9101,976964627,44609,150000,1
31,6.0871,5.6277,7.5031,1.229,0.8249,976964627,151828,150000,0
32,2.7002,2.873,7.8017,1.3796,0.9499,976964627,159126,150000,0
33,5.8356,2.5458,3.6887,2.0143,0.7833,976964627,157398,150000,0
34,3.3521,4.6725,4.6795,1.3795,0.7611,976964627,152070,150000,0
35,5.5499,8.5182,3.1487,2.2103,0.7822,976964627,172591,150000,0
36,6.0146,7.5332,8.7592,2.476,0.5002,976964627,150799,150000,0
37,7.4707,5.727,7.9574,1.8519,0.6343,976964627,150127,150000,0
38,6.4329,4.097,2.3058,1.62,0.7142,976964627,161253,150000,0
39,5.2148,4.3955,4.9532,1.3071,0.7502,976964627,150528,150000,0
40,0.5071,1.8643,9.3685,1.9465,0.6493,976964627,156817,150000,0
41,1.4241,7.6511,4.5771,1.0101,0.9296,976964627,150148,150000,0
42,9.1324,2.8375,1.4021,1.6139,0.7673,976964627,152606,150000,0
43,1.5626,3.8593,0.6658,1.6592,0.8141,976964627,150163,150000,0
44,5.2993,6.1833,8.0955,2.1121,0.8329,976964627,156456,150000,0
45,5.6172,7.1116,3.3071,2.3181,0.5847,976964627,150457,150000,0
46,2.8408,2.5857,7.6327,2.4455,0.7018,976964627,157014,150000,0
47,8.4415,9.4456,8.2298,2.167,0.6193,976964627,155295,150000,0
48,6.6435,4.1814,7.3196,1.866,0.5468,976964627,153020,150000,0
49,4.4456,3.0153,0.9365,1.9104,0.6529,976964627,155377,150000,0
50,0.5803,6.8819,6.9991,1.2913,0.474,976964627,65434,150000,1
51,7.4074,2.6961,3.3834,1.7062,0.4296,976964627,151936,150000,0
52,9.6801,1.3988,7.348,1.4227,0.9686,976964627,152308,150000,0
53,2.68,9.3211,7.5649,1.6116,0.6559,976964627,158305,150000,0
54,3.3363,4.9107,1.2279,1.6316,0.6166,976964627,151009,150000,0
55,7.5147,9.1373,5.931,1.0428,0.5451,976964627,150050,150000,0
56,6.8625,5.5495,8.0498,1.0698,0.5686,976964627,150539,150000,0
57,6.0052,6.0117,9.7717,2.2845,0.6068,976964627,159754,150000,0
58,8.2101,4.4776,5.2566,1.7357,0.5066,976964627,153034,150000,0
59,7.4953,4.466,1.3617,1.2032,0.4716,976964627,150635,150000,0
60,2.2631,7.7788,7.7563,1.7164,0.4463,976964627,155252,150000,0
61,7.6263,2.4196,3.967,1.6716,0.4268,976964627,150911,150000,0
62,5.8591,1.6115,8.2433,1.9469,0.5076,976964627,152723,150000,0
63,2.202,4.0497,9.8088,2.1447,0.4762,976964627,153046,150000,0
64,3.0105,3.0385,6.8638,2.0241,0.8236,976964627,156793,150000,0
65,9.5123,3.2748,2.868,1.1508,0.799,976964627,150845,150000,0
66,5.0604,1.4098,7.6516,1.5075,0.6659,976964627,152639,150000,0
67,2.6082,1.5611,4.8556,2.267,0.5058,976964627,150354,150000,0
68,3.3193,9.4466,9.9211,1.4087,0.5264,976964627,155510,150000,0
69,2.9743,5.7921,2.7251,2.3871,0.4007,976964627,152697,150000,0
70,1.4118,8.1279,7.2752,1.885,0.6144,976964627,151427,150000,0
71,7.2577,2.4503,5.1036,1.7027,0.8788,976964627,153726,150000,0
72,2.8656,6.8656,7.923,1.7144,0.751,976964627,169573,150000,0
73,6.929,3.2544,4.1856,1.1999,0.6348,976964627,151424,150000,0
74,6.523,2.9748,4.4756,2.1711,0.4163,976964627,152509,150000,0
75,2.8565,6.3491,2.3345,1.7245,0.6374,976964627,162822,150000,0
76,5.6076,3.3611,3.183,1.4912,0.9717,976964627,150395,150000,0
77,7.1373,1.2461,2.6716,2.0247,0.8344,976964627,152234,150000,0
78,7.9315,2.1382,7.5685,1.2418,0.6582,976964627,151603,150000,0
79,0.7281,6.1403,2.3915,2.147,0.4903,976964627,157843,150000,0
80,3.4809,5.4397,8.4992,1.5336,0.7234,976964627,160962,150000,0
81,3.5524,1.4282,6.1882,2.0485,0.8317,976964627,154077,150000,0
82,8.8031,8.6721,2.8382,1.9315,0.4977,976964627,155624,150000,0
83,9.3361,7.2862,2.808,2.2812,0.9654,976964627,156131,150000,0
