configuration_id,LL_static_lambda1,LL_static_lambda2,LL_static_lda,LL_static_crossOverBias,seed,time,bound,solved
1,60,55,97,0.3468,976964627,150075,150000,0
2,66,69,8,0.4394,976964627,43012,150000,1
3,51,55,65,0.381,976964627,150096,150000,0
4,64,65,7,0.0757,976964627,30518,150000,1
5,94,88,40,0.2317,976964627,150142,150000,0
6,90,33,61,0.3601,976964627,150060,150000,0
7,5,98,98,0.0604,976964627,150095,150000,0
8,22,66,66,0.3745,976964627,150040,150000,0
9,25,72,91,0.3773,976964627,150059,150000,0
10,1,38,99,0.2747,976964627,150033,150000,0
11,20,68,35,0.2976,976964627,150037,150000,0
12,43,44,67,0.0502,976964627,39946,150000,1
13,100,19,37,0.2798,976964627,150058,150000,0
14,73,78,64,0.2003,976964627,150094,150000,0
15,63,73,47,0.1756,976964627,150122,150000,0
16,52,48,45,0.295,976964627,150000,150000,0
17,67,98,16,0.2984,976964627,50200,150000,1
18,64,28,55,0.2257,976964627,150052,150000,0
19,54,59,9,0.0732,976964627,26907,150000,1
20,24,67,28,0.1162,976964627,28632,150000,1
21,46,82,20,0.2694,976964627,46166,150000,1
22,29,84,70,0.0699,976964627,50795,150000,1
23,7,65,50,0.1586,976964627,150006,150000,0
24,2,34,6,0.2201,976964627,43145,150000,1
25,77,67,78,0.3588,976964627,150048,150000,0
26,100,18,54,0.4111,976964627,150096,150000,0
27,85,73,15,0.4566,976964627,97247,150000,1
28,64,47,23,0.3198,976964627,150029,150000,0
29,64,56,56,0.0885,976964627,85394,150000,1
30,26,28,44,0.1585,976964627,150045,150000,0
31,4,74,10,0.4752,976964627,108612,150000,1
32,10,56,37,0.1388,976964627,66036,150000,1
33,79,16,62,0.2324,976964627,150005,150000,0
34,67,67,75,0.3259,976964627,150080,150000,0
35,66,13,27,0.4398,976964627,150021,150000,0
36,1,75,41,0.0235,976964627,46402,150000,1
37,87,60,52,0.3735,976964627,150087,150000,0
38,15,73,25,0.112,976964627,29286,150000,1
39,78,25,94,0.289,976964627,150071,150000,0
40,18,35,68,0.3284,976964627,150043,150000,0
41,32,41,45,0.1315,976964627,78789,150000,1
42,62,54,84,0.1528,976964627,150104,150000,0
43,81,65,59,0.3657,976964627,150088,150000,0
44,88,99,17,0.3718,976964627,80853,150000,1
45,53,79,57,0.2046,976964627,150082,150000,0
46,64,35,21,0.2106,976964627,43601,150000,1
47,54,51,38,0.2443,976964627,150034,150000,0
48,20,60,2,0.0571,976964627,17260,150000,1
48,20,60,2,0.0571,1010701430,20560,150000,1
48,20,60,2,0.0571,917007886,16297,150000,1
48,20,60,2,0.0571,1673570350,20133,150000,1
48,20,60,2,0.0571,1511508930,17228,150000,1
48,20,60,2,0.0571,395064476,17610,150000,1
48,20,60,2,0.0571,2037563455,19115,150000,1
48,20,60,2,0.0571,1177142122,17685,150000,1
48,20,60,2,0.0571,976064959,18549,150000,1
48,20,60,2,0.0571,926352561,16903,150000,1
48,20,60,2,0.0571,1590962420,17310,150000,1
48,20,60,2,0.0571,1129705271,17525,150000,1
49,94,63,43,0.0654,976964627,46097,150000,1
50,74,44,1,0.4498,976964627,47380,150000,1
51,92,21,12,0.2086,976964627,37932,150000,1
52,63,13,32,0.027,976964627,41249,150000,1
53,44,71,52,0.2922,976964627,150075,150000,0
54,81,74,74,0.2779,976964627,150040,150000,0
55,68,31,88,0.1634,976964627,150084,150000,0
56,26,18,76,0.4821,976964627,150040,150000,0
57,52,84,94,0.4103,976964627,150008,150000,0
58,78,38,66,0.1832,976964627,150103,150000,0
59,73,58,25,0.2185,976964627,60015,150000,1
60,23,7,61,0.22,976964627,150000,150000,0
61,3,66,69,0.1025,976964627,150038,150000,0
62,13,74,19,0.1647,976964627,31949,150000,1
63,47,6,97,0.0317,976964627,122745,150000,1
64,73,28,97,0.1291,976964627,150086,150000,0
65,93,75,41,0.2226,976964627,150015,150000,0
66,32,44,10,0.2144,976964627,22203,150000,1
67,37,75,91,0.2938,976964627,150080,150000,0
68,3,25,68,0.2577,976964627,150024,150000,0
69,80,5,29,0.2976,976964627,150023,150000,0
70,56,98,86,0.1818,976964627,150150,150000,0
71,82,39,51,0.2486,976964627,150040,150000,0
72,19,75,39,0.0623,976964627,30062,150000,1
73,13,13,20,0.3791,976964627,150001,150000,0
74,77,48,8,0.3797,976964627,32850,150000,1
75,16,38,45,0.0323,976964627,20874,150000,1
75,16,38,45,0.0323,1010701430,20992,150000,1
75,16,38,45,0.0323,917007886,20765,150000,1
75,16,38,45,0.0323,1673570350,20574,150000,1
75,16,38,45,0.0323,1511508930,20198,150000,1
75,16,38,45,0.0323,395064476,19573,150000,1
75,16,38,45,0.0323,2037563455,22010,150000,1
75,16,38,45,0.0323,1177142122,19808,150000,1
75,16,38,45,0.0323,976064959,20092,150000,1
75,16,38,45,0.0323,926352561,19948,150000,1
76,58,7,82,0.3181,976964627,150020,150000,0
77,19,20,34,0.4903,976964627,150033,150000,0
78,77,13,28,0.121,976964627,62210,150000,1
79,68,69,72,0.4753,976964627,150015,150000,0
80,26,27,10,0.3414,976964627,28270,150000,1
81,49,5,76,0.1736,976964627,150012,150000,0
82,46,24,7,0.2393,976964627,23522,150000,1
83,85,18,31,0.4699,976964627,150071,150000,0
84,100,27,22,0.144,976964627,46820,150000,1
85,54,25,93,0.0105,976964627,44077,150000,1
86,12,80,72,0.2978,976964627,150052,150000,0
87,37,72,17,0.2519,976964627,36813,150000,1
88,47,82,27,0.3294,976964627,150007,150000,0
89,79,48,60,0.3444,976964627,150114,150000,0
90,26,40,13,0.205,976964627,23127,150000,1
91,65,22,43,0.3918,976964627,150075,150000,0
92,3,27,60,0.1116,976964627,150020,150000,0
93,48,41,55,0.1385,976964627,150024,150000,0
94,30,33,97,0.3549,976964627,150003,150000,0
95,3,25,69,0.3707,976964627,150024,150000,0
96,79,13,75,0.0862,976964627,150018,150000,0
97,44,5,58,0.1145,976964627,150015,150000,0
98,77,16,33,0.2517,976964627,150005,150000,0
99,85,36,55,0.1733,976964627,150039,150000,0
100,5,61,70,0.3686,976964627,150018,150000,0
101,88,86,26,0.3131,976964627,150145,150000,0
102,17,94,70,0.1356,976964627,150062,150000,0
103,86,96,67,0.2546,976964627,150150,150000,0
104,13,34,55,0.0462,976964627,23002,150000,1
105,4,40,62,0.1067,976964627,150035,150000,0
106,41,78,52,0.1385,976964627,150095,150000,0
107,44,35,19,0.3332,976964627,80433,150000,1
108,91,99,92,0.1168,976964627,150098,150000,0
109,68,73,1,0.3974,976964627,51005,150000,1
110,57,42,7,0.3141,976964627,29023,150000,1
111,20,59,34,0.4369,976964627,150021,150000,0
112,22,34,16,0.4362,976964627,124391,150000,1
113,50,15,25,0.3373,976964627,150014,150000,0
114,18,75,12,0.0234,976964627,17414,21190,1
114,18,75,12,0.0234,1010701430,17663,21593,1
114,18,75,12,0.0234,917007886,17955,20073,1
114,18,75,12,0.0234,1673570350,16862,23579,1
114,18,75,12,0.0234,1511508930,16731,17719,1
114,18,75,12,0.0234,395064476,17565,18598,1
114,18,75,12,0.0234,1177142122,17029,24402,1
114,18,75,12,0.0234,976064959,17221,20667,1
114,18,75,12,0.0234,926352561,17252,24276,1
114,18,75,12,0.0234,1590962420,16820,17311,1
115,42,66,36,0.0423,1590962420,17370,17311,0
116,15,62,14,0.0855,1590962420,17336,17311,0
117,36,71,6,0.0812,1590962420,17325,17311,0
118,36,59,4,0.0851,1590962420,17347,17311,0
119,2,72,5,0.1294,1590962420,17338,17311,0
120,8,77,4,0.0571,976964627,16288,28647,1
120,8,77,4,0.0571,1010701430,15701,28144,1
120,8,77,4,0.0571,917007886,16372,29291,1
120,8,77,4,0.0571,1673570350,14987,33953,1
120,8,77,4,0.0571,1511508930,15154,20197,1
120,8,77,4,0.0571,395064476,16904,22876,1
120,8,77,4,0.0571,1177142122,16682,34028,1
120,8,77,4,0.0571,976064959,15110,30808,1
120,8,77,4,0.0571,926352561,16895,34637,1
120,8,77,4,0.0571,1590962420,14342,17311,1
121,10,58,12,0.0501,1511508930,17481,17563,1
121,10,58,12,0.0501,395064476,17774,18231,1
121,10,58,12,0.0501,1590962420,16976,17311,1
122,4,83,16,0.0998,1590962420,17346,17311,0
123,52,77,14,0.1009,1590962420,17322,17311,0
124,26,55,28,0.1234,1590962420,17374,17311,0
125,26,46,8,0.0823,1590962420,17316,17311,0
126,17,66,1,0.1208,1590962420,17318,17311,0
127,4,92,2,0.0595,1590962420,17314,17311,0
128,17,71,15,0.0648,1590962420,17357,17311,0
129,34,60,16,0.0641,1590962420,17357,17311,0
130,26,38,6,0.1039,1590962420,17339,17311,0
131,10,76,21,0.0568,1590962420,17334,17311,0
132,19,76,17,0.1255,1590962420,17315,17311,0
133,38,73,5,0.0583,1590962420,17326,17311,0
134,50,57,10,0.231,1590962420,17357,17311,0
135,6,58,20,0.0275,1511508930,17479,17468,0
135,6,58,20,0.0275,1590962420,17071,17311,1
136,17,58,10,0.0546,1590962420,17311,17311,0
137,35,32,34,0.0221,1590962420,17347,17311,0
138,13,73,11,0.0767,1590962420,17361,17311,0
139,34,74,14,0.0806,1590962420,17380,17311,0
140,10,45,8,0.0652,976964627,15863,75861,1
140,10,45,8,0.0652,1010701430,15219,58601,1
140,10,45,8,0.0652,917007886,14718,92158,1
140,10,45,8,0.0652,1673570350,15116,130840,1
140,10,45,8,0.0652,1511508930,14086,20431,1
140,10,45,8,0.0652,395064476,16106,38041,1
140,10,45,8,0.0652,1177142122,13644,148525,1
140,10,45,8,0.0652,976064959,15327,110707,1
140,10,45,8,0.0652,926352561,14730,150000,1
140,10,45,8,0.0652,1590962420,14108,17311,1
141,16,53,17,0.061,1590962420,17343,17311,0
142,23,72,19,0.026,1590962420,17338,17311,0
143,22,58,15,0.0979,1590962420,17361,17311,0
144,9,69,17,0.0676,1590962420,17319,17311,0
145,24,59,17,0.1398,1590962420,17346,17311,0
146,22,47,26,0.0813,1590962420,17344,17311,0
147,5,73,5,0.0448,976964627,17054,73861,1
147,5,73,5,0.0448,1010701430,18009,56601,1
147,5,73,5,0.0448,917007886,14936,90158,1
147,5,73,5,0.0448,1673570350,15701,128840,1
147,5,73,5,0.0448,1511508930,16859,18431,1
147,5,73,5,0.0448,395064476,14037,36041,1
147,5,73,5,0.0448,1177142122,14802,146525,1
147,5,73,5,0.0448,976064959,14454,108707,1
147,5,73,5,0.0448,926352561,18431,150000,1
147,5,73,5,0.0448,1590962420,16108,17311,1
148,16,62,3,0.0637,1590962420,17343,17311,0
149,37,68,15,0.1581,1590962420,17357,17311,0
150,12,58,28,0.1391,1590962420,17366,17311,0
151,14,33,10,0.0323,976964627,13051,75913,1
151,14,33,10,0.0323,1010701430,13631,58653,1
151,14,33,10,0.0323,917007886,14896,92210,1
151,14,33,10,0.0323,1673570350,13997,130892,1
151,14,33,10,0.0323,1511508930,14931,20483,1
151,14,33,10,0.0323,395064476,13471,38093,1
151,14,33,10,0.0323,1177142122,13224,148577,1
151,14,33,10,0.0323,976064959,15044,110759,1
151,14,33,10,0.0323,926352561,13733,150000,1
151,14,33,10,0.0323,1590962420,14056,17311,1
152,14,65,30,0.0417,1590962420,17349,17311,0
153,31,74,11,0.0552,1590962420,17334,17311,0
154,10,52,30,0.1106,1590962420,17371,17311,0
155,1,66,1,0.0668,1590962420,17312,17311,0
156,32,50,6,0.0629,1590962420,17322,17311,0
157,20,67,18,0.1598,1590962420,17378,17311,0
158,13,89,11,0.1844,1590962420,17334,17311,0
159,37,80,2,0.1296,1590962420,17317,17311,0
160,34,49,8,0.0727,1590962420,17316,17311,0
161,26,63,7,0.069,1590962420,17358,17311,0
162,37,55,9,0.0617,1590962420,17326,17311,0
163,32,47,3,0.083,1590962420,17330,17311,0
164,22,60,3,0.0954,1590962420,17330,17311,0
165,11,54,2,0.115,1590962420,17327,17311,0
166,24,57,31,0.1883,1590962420,17390,17311,0
167,30,83,2,0.0294,1590962420,17331,17311,0
168,28,58,3,0.1498,1590962420,17326,17311,0
169,14,51,17,0.04,1590962420,17340,17311,0
170,26,60,7,0.0896,1590962420,17312,17311,0
171,29,53,1,0.1369,1590962420,17324,17311,0
172,25,55,30,0.108,1590962420,17331,17311,0
173,14,38,13,0.056,976964627,15791,73797,1
173,14,38,13,0.056,1010701430,15484,56537,1
173,14,38,13,0.056,917007886,15759,90094,1
173,14,38,13,0.056,1673570350,15088,128776,1
173,14,38,13,0.056,1511508930,16942,18367,1
173,14,38,13,0.056,395064476,15292,35977,1
173,14,38,13,0.056,1177142122,14768,146461,1
173,14,38,13,0.056,976064959,14979,108643,1
173,14,38,13,0.056,926352561,15826,150000,1
173,14,38,13,0.056,1590962420,16172,17311,1
174,11,41,11,0.0873,976964627,15653,74620,1
174,11,41,11,0.0873,1010701430,16757,57360,1
174,11,41,11,0.0873,917007886,17032,90917,1
174,11,41,11,0.0873,1673570350,17610,129599,1
174,11,41,11,0.0873,1511508930,16363,19190,1
174,11,41,11,0.0873,395064476,16765,36800,1
174,11,41,11,0.0873,1177142122,16294,147284,1
174,11,41,11,0.0873,976064959,16988,109466,1
174,11,41,11,0.0873,926352561,16400,150000,1
174,11,41,11,0.0873,1590962420,15349,17311,1
175,28,68,4,0.0657,1590962420,17345,17311,0
176,14,67,15,0.0405,1590962420,17352,17311,0
177,40,17,17,0.0863,1590962420,17326,17311,0
178,38,49,11,0.13,1590962420,17370,17311,0
179,45,57,19,0.0341,1590962420,17376,17311,0
180,28,53,9,0.1525,1590962420,17360,17311,0
181,24,87,13,0.1428,1590962420,17352,17311,0
182,24,82,4,0.1763,1590962420,17371,17311,0
183,25,66,3,0.0143,1590962420,17335,17311,0
184,17,49,25,0.0752,1590962420,17329,17311,0
185,28,56,11,0.0787,1590962420,17328,17311,0
186,8,60,9,0.1855,1590962420,17342,17311,0
187,11,62,16,0.0706,1590962420,17363,17311,0
188,16,71,29,0.0803,1590962420,17367,17311,0
189,22,61,1,0.0603,1590962420,17327,17311,0
190,22,53,1,0.1551,1590962420,17320,17311,0
191,26,45,10,0.0394,1590962420,17321,17311,0
192,28,52,12,0.0711,1590962420,17349,17311,0
193,11,37,28,0.0766,1590962420,17348,17311,0
194,8,67,3,0.0229,976964627,11627,79463,1
194,8,67,3,0.0229,1010701430,11419,62203,1
194,8,67,3,0.0229,917007886,11463,95760,1
194,8,67,3,0.0229,1673570350,12220,134442,1
194,8,67,3,0.0229,1511508930,10674,24033,1
194,8,67,3,0.0229,395064476,14340,41643,1
194,8,67,3,0.0229,2037563455,12826,84245,1
194,8,67,3,0.0229,1177142122,11849,150000,1
194,8,67,3,0.0229,976064959,12504,114309,1
194,8,67,3,0.0229,926352561,12634,150000,1
194,8,67,3,0.0229,1590962420,10506,17311,1
194,8,67,3,0.0229,1129705271,12695,150000,1
195,15,34,15,0.0242,976964627,14883,75077,1
195,15,34,15,0.0242,1010701430,14686,57817,1
195,15,34,15,0.0242,917007886,15554,91374,1
195,15,34,15,0.0242,1673570350,15306,130056,1
195,15,34,15,0.0242,1511508930,14829,19647,1
195,15,34,15,0.0242,395064476,15653,37257,1
195,15,34,15,0.0242,1177142122,14254,147741,1
195,15,34,15,0.0242,976064959,15050,109923,1
195,15,34,15,0.0242,926352561,14349,150000,1
